"x1";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10";"x11";"x12";"x13";"x14";"x15";"x16";"x17";"x18";"x19";"x20";"x21";"x22";"x23";"x24";"x25";"x26";"x27";"x28";"x29";"x30";"x31";"x32";"x33";"x34";"x35";"x36";"x37";"x38";"x39";"x40";"x41";"x42";"x43";"x44";"x45";"x46";"x47";"x48";"x49";"x50";"y"
8,21;5,81;6,35;2,95;-1,15;-0,65;2,84;-3,07;-6,07;8,65;-7;7,18;-4,98;4,58;-0,53;-3,57;3,65;9,67;4,59;6,58;9,45;0,3;-3,29;-12,42;8,64;-11,25;5,58;-2,23;14,26;0,64;31,69;6,67;1,04;-1,03;0,48;11,6;1,3;2,42;-31,51;-6,93;2,02;6,01;-2,15;4,27;-5,53;7,64;4,85;-1,04;-2,36;14,92;6,42
-5,12;-3,06;9,33;3,22;3,8;-7,06;2,08;-1,12;8,84;6,59;-1,1;-7,94;11,72;-3,86;0,63;-6,77;1,81;-0,71;-4,22;-0,09;1,68;-5,83;8,55;-5,46;-5,04;-4,89;3,27;10,72;4,19;2,55;24,85;0,05;-2,5;-3,53;2,31;6,88;6,46;-12,39;-10,27;-1,99;1,26;-1,5;8,11;4,78;-2,18;6,72;-4,6;2,51;-3,78;4,29;2,73
-1,51;1,73;-3,41;5,98;-1,22;-6,46;1,61;-3,37;3,08;6,02;1,59;1,86;7,59;1,11;-3,52;-2,41;7,26;0,59;-4,33;-2,03;2,87;5,73;8,38;-3,83;1,28;-14,29;-1,53;11,11;-1,75;0,54;-6,77;6,07;-1,01;-3,52;3,69;-0,45;6,47;-7,24;1,79;-3,21;2,53;-1,74;0,11;3,75;0,91;10,59;-0,71;0,82;-2,7;-0,09;1,75
6,68;6,14;-1,81;-8,11;-2,59;2,93;24,24;0,35;12,22;8,63;-15,63;-19,95;5,69;-10,87;1,16;0,13;2,08;7,25;20,54;25,73;4,99;5,25;-11,61;-3,42;-8,66;-4,44;-1,58;-18,44;0,55;-1,54;7,03;-0,03;3,06;-0,54;1,12;5;13,19;-7,96;-0,6;-7,99;-0,2;3,42;10,09;0,54;-3,38;6,95;-8,23;0,88;2,11;-0,26;2,97
1,89;3,35;-1,1;5,54;0,67;-4,17;1,48;2,54;-2,99;-5,89;-0,66;1,01;2,86;2,79;-4,22;-3,34;-1,71;0,91;-1,32;-1,21;-0,98;5,16;-1,54;-1,06;1,31;-0,69;-0,4;4,15;0,26;11,79;-3,66;8,06;5,75;-0,68;5,39;3,02;1,35;1,96;3,82;8,63;4,83;-12,27;-0,51;6,41;7,27;1,62;-0,11;-3,49;-3,16;1,22;3,3
12,49;0,18;2,53;-12,01;-2,34;-0,34;22,19;-3,92;4,86;9,22;-20,57;-13,62;-7,04;-1,54;-3,66;-1,94;8,49;10,78;22,57;25,41;4,79;-1,04;-12,84;-8,32;-2,53;-4,3;3,46;-26,01;6,94;-0,07;24,48;-2,17;-5,36;-2,73;3,9;8,61;5,53;-2,5;-13,99;-3,64;-0,35;-2,42;5,82;-0,35;-0,44;9,85;-4,75;10,31;-0,69;4,71;3,04
6,43;0,11;-0,49;-9,55;1,79;1,2;20,19;1,9;8,41;3,42;-12,11;-16,1;4,36;-9,59;-4,01;0,42;6,29;5,78;17,07;21,63;6,37;4,65;-11,91;-4,26;-7,09;-1,62;0,25;-11,85;1,12;0,87;2,9;3,89;-1,05;-1,77;-1,2;4,86;7,06;-4,79;-0,38;-7,53;3,12;-4,58;5,75;-0,23;-2,66;4,83;-6,84;2,43;-1,76;-0,06;1,47
3,63;1,38;2,69;-4,03;0,97;1,91;17,43;4,47;7,52;-0,93;-11,06;-21,16;4,26;-11,73;4,15;-3,16;4,86;3,73;12,67;20,07;6,08;2,37;-10,84;-10,43;-4,83;1,11;2,79;-13,76;3,93;-1,69;17,36;2,03;6,68;0,02;1,77;4,06;6,64;-6,41;-8,45;-10,02;-5,54;-1,64;7,8;-0,09;0,04;7,09;-4,79;4,22;1,48;3,7;2,61
3,21;3,26;-1,67;-8,81;-0,85;9,43;23,96;-7,19;9,87;13,44;-19,53;-26,16;2,2;-16,53;2,2;-9,94;2,08;2,09;23,63;28;5,59;3,04;-14,76;-3,13;-8,78;-8,06;-1,44;-21,26;-2,66;1,15;2,54;-12,31;-2,22;-4,94;5,38;0,5;8,93;-4,11;-0,53;2,18;-5,06;-0,07;6,96;13,89;-0,43;14,88;-5,08;6,65;-3,27;0,7;0,55
5,96;8,65;-1,44;6,03;1,35;-6,33;6,62;-4,18;-17,54;18;0,33;-1,97;-3,72;2,26;-4,5;0,84;8,13;2,25;-5,17;7,65;10,73;1,31;-12,06;-0,25;10,35;-17,14;-2,59;0,04;3,43;2,46;16,59;1,04;-6,49;1,24;-1,01;7,43;-6,76;6,15;-14,93;-10,31;2,79;6,35;9,31;0,39;-9,53;11,67;-6,57;3,57;-1,21;5,51;2,24
-0,75;1,34;-2,65;-3,78;-0,81;-4,03;13,04;3,82;13,24;1,89;-4,98;-17,3;2,81;-6,47;-3,61;0,86;4,17;0,92;5,86;6,31;8,68;5,21;4,58;-6,05;-1,75;-8,67;-5,16;-8,87;0,22;-0,88;13,52;8,96;1,38;0,49;3,87;5,72;7,67;-11,59;-1,17;-8,11;-1,34;-1,74;16,4;-3,8;4,28;6,39;-15,53;3,31;-0,87;-2,14;1,28
5,33;7,69;-6,47;-1,8;1,92;0,88;10,15;-6,25;-1,67;9,54;-0,23;-3,53;2,01;-1,18;-2,32;-4,07;5,22;3,31;2,01;7,87;4,99;0,46;-5,11;-5,36;-3,35;-13,07;7,21;-3,32;1,71;2,14;4,54;-2,6;-3,23;-2,13;1,43;1,19;0,41;0,71;-10,22;-4,14;-0,23;4,59;-12,07;5,64;-2,63;12,99;9,66;5,6;-2,98;7,04;1,94
9,26;2,34;1,95;-7,53;-4,23;1,59;15,44;4,89;3,43;-1,35;-21,45;-10,86;-4,27;-0,2;-0,47;-4,32;0,28;7,93;14,39;20,18;14,57;-0,98;-2,94;-6,87;1,31;0,9;-1,59;-17,18;2,85;3,25;23,74;7,63;7,76;2,31;0,92;9,82;4,32;-5,8;-14,49;-4,79;-1,38;-1,24;12,15;-0,42;4,31;3,41;-12,38;4,08;0,7;3,76;3,82
6,55;-0,55;2,76;-11,11;-2,44;0,62;19,88;4,03;6,01;-0,56;-17,14;-19,22;1,27;-3,48;0,87;-1,28;-1,88;10,6;17,07;25,75;2,85;-1,79;-6,01;-7;-5,58;2,95;5,03;-19,36;3,6;1,52;11,99;3,57;7,79;1,09;0,69;4,92;11,33;-10,56;-10,24;-3,76;1,79;-0,13;-3,66;2,98;4,8;3,77;3,89;1,07;0,22;5,69;3,01
3,9;2,5;7,23;3,25;-2,41;-1,15;15,2;-1,61;5,74;8,21;-2,71;-12,82;2,38;-10,31;-0,53;-2,35;2,69;0,63;9,52;12,45;4,89;-4,75;-11,8;-3,03;0,56;-7,78;1,37;-11,67;-1,73;6,21;21,47;3,12;3,6;0,02;-0,72;1,78;7,57;0,24;-8,48;-4,35;1,89;-2,75;13,39;4,83;-4,37;6,23;-8,24;-2,95;-1,75;3,87;2,83
12,51;1,91;3,82;-14,01;-2,08;-2,61;26,03;-2,49;9,38;7,02;-26,53;-19,75;5,21;-3,26;-1,98;-1,93;4;14,21;24,8;32,55;5,01;-2,81;-13,2;-8,36;-8,11;-9,73;4,94;-20,82;2,29;-0,73;13,71;-0,79;0,56;-3,61;5,56;3,73;13,04;-11,4;-12,61;-2,27;-0,24;-0,53;-1,9;2,29;1,94;8,48;5,57;2,03;-1,62;6,61;2,52
-1,72;2,16;-0,07;0,19;0,45;-1,15;3,95;4,58;2,49;9,55;-1,77;2,96;4,02;-0,37;-4,47;-7;0,48;-3,03;0,75;2,56;2,11;-0,21;0,15;-1,84;-1,11;-6,65;1,75;6,12;-1,43;3,99;0,66;7,14;2,85;1,77;-2,25;-2,38;1,33;1,42;-3,89;-9,35;5,62;1,09;-2,63;-2,38;-3,8;3,67;5,34;3,26;-0,98;5,75;2,12
13,32;0,59;-0,95;-3,81;-0,8;-4,84;14,43;-1,37;-0,63;5,58;-16,16;-3,71;-2,91;-0,52;-3,29;-0,87;2,82;12,38;12,45;18,24;-0,5;0,61;-10,48;-5,05;9,07;-8,91;5,19;-8,3;2,97;-0,46;4,55;8,3;-0,27;-3,87;3,8;-1,28;-1,22;-4,55;-4,99;-1,26;3,98;-4,11;-3,8;-1,95;-0,71;3,19;5,58;-2,18;-2,44;6,17;1,8
5,55;3,12;5,14;-4,04;-0,75;-0,28;15,23;10,3;10,78;-9,63;-12,36;-16,27;4,67;-4,87;-2,19;-1,66;-2,81;4,72;10,83;16,37;8,42;-4,87;-3,08;-5,39;-5,31;0,67;8,16;-11,45;7;3,96;18,92;24,87;19,34;1,95;0,51;4,83;8,85;-10,29;-23,85;-8,62;1,02;-6,56;-7,44;-8,62;6,49;-6,87;9,86;-6,26;0,41;13,12;4,29
0,89;10,16;-12,52;-4,97;5,94;-1,09;7,42;-0,91;-3,36;-0,82;-0,6;-6,47;-1,49;-3,47;1,69;-2,35;-0,02;3,11;3,23;9,08;-0,53;8,69;-8,12;4,73;0,58;-2,43;-2,6;-4,29;-9,26;-2,14;-23,88;6,61;12,67;0,43;0,82;-6,89;-1,63;2,3;12,79;-9,64;-9,51;0,57;-0,44;-2,19;2,78;6,13;2,74;3,94;1,4;-4,16;-1,43
10,41;2,1;2,36;-8,37;-2,75;1,38;16,78;-3,03;5,37;1,62;-14,99;-9,59;-5,37;-4,06;0,28;3,89;-1,37;9,98;21,46;15,89;10,24;-1,48;-9,64;-8,71;-1,16;-6,51;2,25;-19,21;-0,53;-0,46;18,18;8,31;9,33;0,16;2;3,41;8,34;-0,55;-7,59;-7,28;-8,03;1,21;9,38;-2,94;3,54;4,83;-5,45;-0,48;-0,14;2,49;3,45
12,02;-1,2;1,39;-7,38;-1,58;-1,32;21,05;5,12;9,95;3,4;-15,43;-16,94;1,34;-6,71;-4,99;1,74;2,4;9,67;16,46;21,44;5,27;0,92;-11,31;-7,47;-3,98;-10,19;2,96;-20,13;1,75;0,16;10,8;11,34;-1,14;-1,28;2,36;4,66;9,57;-6,73;-5,84;-9,53;3,87;-5,12;2,18;-7,69;-1,4;1,97;-3,01;-0,75;-2,45;1,82;0,32
9,78;2,42;2,64;-7,76;-2,82;2,96;21,89;2,64;9,05;5,46;-15,08;-15,34;-2,62;-6,68;-6,1;1,54;6,93;7,42;18,92;23,08;4,11;-0,28;-10,82;-3,41;-5,38;-13,01;2,25;-21,43;-0,55;2,06;8,91;9,43;0,46;3,53;-5,02;2,89;8,1;-5,01;-2,44;-19,88;-2,21;4,92;9,07;-7,72;-6,7;7,52;-6,89;5,86;-0,03;1,28;1,45
-5,4;2,83;3,04;3,17;3,28;-4,84;0,55;10,26;-2,09;2,29;6,67;2,6;4,02;-1,24;2,68;-6,03;4,1;-4,63;-4,28;-0,91;7,79;-1,27;1,23;-6,18;4,42;-4,67;4,12;8,37;6,99;-4,36;22,89;14,66;2,8;2,69;-3,08;5,23;-0,68;5,53;-17,38;-14,2;2,36;0,98;2,34;-6,02;-2,23;1,2;-0,06;1,3;0,18;10,35;4,31
4,17;1,88;2,56;2,56;1,88;-1,14;7,21;-0,06;-5;3,53;-2,74;-7;-4,57;2,15;-3,98;-3,13;5,23;-0,03;-2,36;8,3;4,8;1,22;-4,27;-6,7;5,72;-10,51;0,19;-4,56;1,61;0,44;15,87;9,11;5,08;-1,97;-3,14;1,21;-1,26;3,84;-6,29;-11,66;-0,04;-0,92;9,44;-1,2;-3,61;5,74;-9,18;0,8;-1,82;3,94;0,86
1,78;-3,52;5,16;-3,71;2,2;3,14;11,54;0,22;1,15;2,68;-7,5;-7,4;-0,77;-4,73;1,45;-5,63;2,11;0,48;5,9;13,28;3,18;3,34;-5,07;-7,75;-1,08;0,06;-1,42;-6,22;0,99;-0,83;15,28;-1,92;2,14;0,58;-1,4;4,64;0,02;-0,37;1,68;-5,64;-3,11;5;19,37;4,58;-2,39;6,32;-18,14;4,96;-0,37;-1,45;1,86
4,75;-1,12;0,15;-4,12;1,61;-1,71;10,04;0,84;4,3;-2,46;-3,83;-8,77;2,45;-4,21;-1,96;-3,49;1,88;3,4;7,49;10,52;6,85;-1,8;-7,04;-13,22;-2,21;-3,74;0,32;-5,28;-2,14;1,78;14,64;15,16;10,25;1,52;-1,7;3,99;6,95;0,12;-5,6;-5,48;-1,99;-3,76;0,3;0,84;-0,37;1,44;-1,93;-2,39;-1,27;0,35;1,21
1,83;-1,32;7,23;3,3;0,78;-12,12;4,52;-2,75;-7,71;13,52;-0,28;-2,11;5,39;1,84;-3,27;-4,06;9,96;2,81;-2,52;4,57;11,16;1,05;-2,53;-5,93;7,86;-8,75;2,59;9,24;11,54;-0,16;23,16;-2,13;-9,2;-0,67;-1,86;11,81;1,09;1,5;-18,48;-6,96;10,35;6,63;7,95;-2,74;-6,03;8,44;-4,96;8,86;2,48;7,01;5,55
5,07;-1,77;4,35;-10,29;4,74;5,3;18,23;-1,04;9,72;4,27;-19,79;-18,33;-3,33;-12,12;-1,14;-6,13;-1,62;3,96;12,98;22,69;0,11;4,12;-8,56;-3,52;-0,77;-7,33;-2,01;-18,78;3,61;7,77;5,77;7,77;1,45;0,14;-1,17;5,85;-1,38;-5,58;-5,06;-2,16;7,75;-1,52;5,48;3,79;-2,15;3,31;-4,54;-1,9;-2,95;3,19;0,01
8,44;5,69;1,46;4,73;-3,93;-11,62;7,98;-0,14;-10,55;-1,44;-6,09;-10,81;0,45;6,44;2,65;-2,13;0,78;2,14;1,46;9,51;8,73;4,21;-6,6;0,77;9,56;-0,61;-0,13;-4,42;6,71;-2,71;7,1;3,24;6,14;0,35;2,36;8,15;3,97;3,26;-11,82;-8,28;-8,98;2,43;3,69;-0,68;3,87;6,75;-0,24;6,31;-0,83;7,63;3,66
1,83;1,1;0,81;-1,01;1;-3,18;10,23;3,89;9,99;4,67;-6,81;-7,92;4,76;-3,55;-4,09;3,07;4,18;3,3;8,7;7,36;-3,84;-0,83;3,49;-7,01;-4,33;-13,55;11,29;-3,35;6,93;-4,32;11,93;17,48;8,34;0,28;0,12;3;9,02;-5,47;-11,45;-19,12;-4,13;0,89;-8,8;-10,78;-3,48;4,77;11,02;-0,74;0,26;8,46;2,1
10,54;2,69;0,97;-8,59;0,23;1,8;24,75;-5,55;9,8;11,28;-18,07;-24,42;-2,9;-10,7;2,82;1,75;5,81;7,87;21,87;27,61;7,45;3,52;-15,56;-5,29;-2,66;-10,2;4,95;-23,76;2,53;-5,74;3,21;0,23;1,08;-0,38;1,47;3,8;8,28;-4,84;-9,7;-8,05;-4,83;11,54;-1,17;3,33;-2,61;11,11;1,22;1,68;0,48;3,62;2,01
5,4;4,96;3,29;-2,6;-1,82;5,86;24,57;-5,89;-1,29;1,47;-14,09;-18,47;-0,33;-9,28;2,02;-5,7;10,18;1,62;18,1;29,46;3,55;0,76;-22,86;-5,38;-5,16;-4,56;1,38;-18,97;3,52;-0,56;14,86;-2,59;-0,91;0,13;-3;2,75;5,34;2,29;-9,04;-4,96;-1,45;6,65;8,52;4,88;-0,71;11,77;-6,57;9,36;2,2;4,06;2,6
21;7,11;-1,58;-14,55;-9,19;-1,71;36,38;-3,96;15,9;5,97;-32,34;-36,89;-1,85;-7,98;3,21;-8,59;8,15;15,18;36,63;37,31;7,69;3,24;-22,59;-2,67;-9,87;-1,57;1,63;-41,13;2,53;1,27;2,32;-9,41;-3,83;-0,95;1,23;3,26;20,22;-10,62;-10,95;3,96;2,59;-3,2;-6,12;6,18;-1,7;8,04;8,13;6,83;2,35;7,9;1,52
18,17;-0,97;6,83;-1,18;-5,08;-7,52;14,06;1,53;-4,58;8,81;-17,21;-13,29;-6,42;0,05;-1,72;2,63;1,24;13,87;13,07;21,21;8,48;-3,28;-11,56;-6,79;7,61;-2,09;3,46;-23;8,48;-0,89;25,23;0,34;2,94;-0,43;3,23;8,37;6,17;-1,66;-18,69;-7,6;0,54;2,31;5,33;-4,53;-0,75;3,93;-6,3;3,01;2,52;7,26;3,38
5,2;3,73;-8,25;-12,23;4,9;7,65;18,04;-1,8;9,54;8,4;-3,98;-18,04;-6,13;-13,09;-2,98;-7,19;1,12;2,09;14,69;14,86;4,21;4,75;-14,26;1,21;-6,36;-2,75;-3,51;-23,75;-6,17;4,06;-15,26;1,03;-3,95;-1,4;0,23;1,06;3,87;4,56;8,93;2,01;6,29;-1,03;-3,68;5,02;-4,21;3,74;4,89;2,82;-3,75;-5,24;-1,04
13,49;7,37;-4,76;-5,54;-1,16;-8,37;28,02;1,13;11,65;9,32;-18,57;-34,83;1,71;-8,8;-0,81;-5,74;7,34;8,07;15,69;25,81;3,37;2,22;-13,87;-1,41;-0,95;-10,46;6,5;-28,52;2,7;-4,87;-5,37;6,71;-0,56;-0,57;-5,41;-0,07;12,18;-13,55;-7,23;-15,53;4,67;5,89;-11,91;-3,75;-7,41;6,65;15,56;3,77;0,8;7,19;-0,35
5,98;-0,4;2,75;-4,48;-0,73;5,38;17,21;5,33;6,27;16,18;-18,17;-15,31;0,36;-6,1;0,22;-4,55;3,39;7,35;14,72;21,9;4,84;1,93;-8,99;-10,59;-6,59;-8,81;3,4;-14,1;9,43;-6,48;20,22;2,52;-5,7;0,34;-0,09;6,37;8,02;-8,13;-19,06;-12,68;-0,52;5,55;-0,45;-1,74;-6,43;7,57;-0,9;4,18;-1,32;9,71;1,66
0,21;6,64;0,31;-1,08;7,24;-6,87;0,77;-4,51;8,49;11,06;7,76;1,95;1,69;-1,42;-1,8;-6,67;4,16;3,26;-3,93;-7,9;8,24;3,33;5,86;-3,63;2,14;-12,35;2,77;1,32;-0,5;1,96;5,36;4,28;-0,89;1,05;-3,76;2,05;-0,22;-3,3;-4,4;-10,1;-0,92;3,67;5,54;3,65;-9,3;9,86;2,2;3,92;-3,48;4,13;2,7
-2,06;1,46;4,77;-11,56;1,77;-3,04;18,6;6,8;11,63;3,93;-10,27;-14,68;8,31;-9,05;0,74;-3,92;2,9;6,57;16,17;17,89;4,69;0,31;-1,34;-1,79;-9,41;-6,32;-0,14;-6,99;3,05;-6,02;12,4;9,9;0,87;0,41;1,46;5,01;13,23;-7,37;-8,37;-8,53;0,71;0;9,65;-3,7;-0,23;3,18;-7,4;1,34;-0,45;3,45;2,97
9,1;0,87;2,23;-5,5;-9,17;1,24;22,32;0,95;8,95;5,73;-21,59;-20,29;4,51;-2,94;-7,41;-1,41;1,96;8,19;19,76;26,72;5,8;-4,86;-7,17;-11,03;-8,4;-11,61;4,75;-19,42;5,79;4,01;17,97;13,71;1,62;-2,39;3,42;4,79;17,93;-11,06;-19,52;-5,06;2,99;-7,51;-13,37;-3,46;-0,08;2,93;15,09;-1,31;-3,82;11,18;1,69
-2,45;1,94;-1,28;1,66;1,29;-5,39;7,56;7,11;1,13;-2,14;-2,22;-8,52;1,76;-5,2;-2,38;-4,92;5,09;-2,05;-1,05;6,41;8,77;-2,39;-2,4;-8,93;1,57;-11,99;2,15;-2,91;3,05;-1,08;16,79;16,52;8,19;-2,45;1,03;5,72;1,4;-0,18;-14,41;-13,48;-2,25;-6,57;-3,81;-5,67;1,73;3,86;2,72;-0,13;-3,86;6,28;0,36
10,76;-0,97;6,36;-6,97;3,28;-5,5;13,43;1,74;6,42;6,59;-15,23;-14,01;-2,81;-6,78;4,59;-3,87;4,82;8,21;15,64;14,3;10,91;-3,73;-9,1;-13,74;9,24;-1,45;5,36;-12,16;8,36;-6,38;36,35;-1,82;1,18;2,8;-2,42;8,7;-0,18;-2,67;-21,92;-10,85;-3,28;7,6;6,55;-0,03;-1,82;7,26;-6,17;6,9;3,01;8,91;4,25
10,8;9,88;-2,55;-11,19;-2,07;-0,52;29,65;1,02;14,77;10,27;-22,96;-27,61;1,85;-10,32;-6,22;-6,76;3,69;6,42;21,91;27,59;3,27;1,89;-12,2;-0,55;-6,15;-9,36;-1,04;-24,4;-1,68;6,98;8,78;9,7;0,04;2,88;-3,66;1,32;10,38;-9,54;-2,63;-7,19;1,93;-3,95;9,91;1,79;-6,72;4,9;-4,51;2,88;-4,39;2,03;1,22
10,16;4,81;-4,47;0,38;0,67;-5,37;13,75;7,44;0,9;3,66;-8,95;-16,87;1,78;-3,54;-1,02;3,34;-1;4,75;5,51;14,27;2,8;0,17;-7,99;3,17;2,6;-2,02;-1,82;-11,18;-2,92;-0,72;-1,23;8,96;7,6;6,6;0,74;-0,03;7,19;-2,38;-0,41;-11,66;-4,86;2,72;-3,71;-6,34;1,21;2,64;7,05;2,15;1,44;5,4;2,39
13,93;-1,8;5,7;-4,03;-8,33;0,2;24,3;0,81;3,17;6,68;-23,45;-22,11;-3,68;-2,77;-2,59;2,64;7,68;8,81;19,39;30;5,3;3,28;-14,94;-8,43;-2,05;-8,61;2,72;-29,66;5,14;2,16;12,86;3,93;-0,48;3,34;-6,18;8,15;12;-4,93;-7,3;-18,48;-0,82;7,55;7,45;-3,18;-9,64;8;-6,44;3,48;0,82;2,54;1,64
9,1;3,3;1,1;-3,12;-0,32;-3,52;17,97;-1,37;7,82;14,73;-16,22;-18,35;3,59;-9,42;1,61;1,31;4,31;8,68;15,57;21,07;9,38;1,57;-10,82;-5,66;2,05;-4;-0,4;-14,59;-0,3;-9,64;11,36;-0,23;-2,67;1,76;1,37;4,36;8,09;-8,49;-6,95;-8,04;1,71;14,27;8,86;-3,12;-2,02;7,28;-6,46;5,41;3,65;3,2;3,68
17,68;3,85;1,1;-6,58;-1,04;-7,15;18,78;0,19;-5,07;8,14;-20,88;-9,66;-8,83;3,36;-0,16;-2,16;2,42;12,76;15,6;24,96;-5,55;2,07;-16,49;-5,39;10,76;-7,28;5,08;-18,79;1,31;-1,49;-0,84;5,67;4,09;-1,07;0,14;-2,8;0,39;0,99;-0,96;-8,59;-1,92;0,52;-0,9;3,06;-4,74;6,49;3,47;-1,11;-2,02;-0,43;0,69
7,93;2,17;5,13;-12,89;-2,78;7,24;16,13;-7,27;11,76;15,07;-25,13;-7,35;0,74;-6,75;-1,81;-1,95;7,92;9,92;25,82;23,73;5,71;-2,76;-4,97;-7,51;-1,64;-10,61;5,68;-16,2;2,58;-3,51;22,98;4,8;-4,78;-2,45;-0,41;5,11;3,23;-9,36;-11,79;-6,52;2,26;0,59;7,59;-0,41;-7,13;6,9;-7,24;1,76;-0,53;4,69;2,91
15,27;3,65;1,68;-12,95;5,03;3,76;22,53;2,53;-0,83;8,41;-17,51;-18,87;-12,74;-4,1;-5,42;6,88;2,1;11,94;17,91;24,47;6,2;0,46;-18,84;-4,99;1,59;-17,84;0,15;-28,58;1,63;-6,18;17,77;27,37;9,07;1,46;-1,16;7,36;0,36;0,67;-7,38;-21,44;-0,56;2,02;11,48;-15,27;-3,53;0,73;-7,88;-6,92;0,35;0,48;-0,15
